VTMagazynId,NumerKompletu,SztukiZeskanowane,SztukiDeklarowane,ZeskanowanychNaKomplet,NaKomplet,Wiazka,KodCiety,Pracownik,DokDostawy,DataUtworzenia,DataDostawy,Komplet,Deklarowany,autocompleteEnabled,wymuszonaIlosc,DataDopisu,DopisanaIlosc,DostawaDopis,Uwagi,CietyWiazka,Rodzina,Wiazka,LiterRodziny,KodWiazki,IlePrzewodow,PrzewodCiety,BIN,IndeksScala,KanBan,Uwagi,DataUtworzenia,DeleteDate,Deleted
a97a6eb8-4cfe-4b2b-941f-08d8434f7ded,0,35,35,18,18,23419128A,AEB20920,filonowicz,49734886,08/18/2020 10:23:49,08/18/2020 00:00:00,True,True,True,False,,0,,,,,,,,,,,,False,,,,False
afdd9ae8-4ba5-4e31-9420-08d8434f7ded,0,112,112,18,18,23419160A,AEB21020,filonowicz,49734886,08/18/2020 10:28:01,08/18/2020 00:00:00,True,True,True,False,,0,,,,,,,,,,,,False,,,,False
433ce612-76bd-4937-9421-08d8434f7ded,0,21,21,18,18,23419111A,AEB19420,filonowicz,49734886,08/18/2020 10:28:37,08/18/2020 00:00:00,True,True,True,False,,0,,,,,,,,,,,,False,,,,False
c541ec28-d64a-4442-9422-08d8434f7ded,0,3,3,18,18,23419093A,AEB18320,filonowicz,49734886,08/18/2020 10:29:02,08/18/2020 00:00:00,True,True,True,False,,0,,,,,,,,,,,,False,,,,False
df3ef7d5-11c9-4922-9423-08d8434f7ded,0,14,14,18,18,23419162A,AEB21220,filonowicz,49734886,08/18/2020 10:29:06,08/18/2020 00:00:00,True,True,True,False,,0,,,,,,,,,,,,False,,,,False
962e250a-8194-4c72-9424-08d8434f7ded,0,4,4,18,18,23419104A,AEB19120,filonowicz,49734886,08/18/2020 10:29:08,08/18/2020 00:00:00,True,True,True,False,,0,,,,,,,,,,,,False,,,,False
e2396fa8-76e7-44b2-9425-08d8434f7ded,0,20,20,16,16,23419087A,AEB17911,filonowicz,49734886,08/18/2020 10:30:10,08/18/2020 00:00:00,True,True,True,False,,0,,,,,,,,,,,,False,,,,False
6b76b9fd-2cc0-4a74-9426-08d8434f7ded,0,15,15,16,16,23419086A,AEB17811,filonowicz,49734886,08/18/2020 10:30:12,08/18/2020 00:00:00,True,True,True,False,,0,,,,,,,,,,,,False,,,,False
24c56ed4-95f7-46ab-9427-08d8434f7ded,0,11,11,18,18,23419170A,AEB21911,filonowicz,49734886,08/18/2020 10:30:15,08/18/2020 00:00:00,True,True,True,False,,0,,,,,,,,,,,,False,,,,False
989c5694-32d2-4149-9428-08d8434f7ded,0,21,21,18,18,23419111A,AEB19411,filonowicz,49734886,08/18/2020 10:30:17,08/18/2020 00:00:00,True,True,True,False,,0,,,,,,,,,,,,False,,,,False
5fcfa0ca-379f-48f6-9429-08d8434f7ded,0,112,112,18,18,23419160A,AEB21011,filonowicz,49734886,08/18/2020 10:30:20,08/18/2020 00:00:00,True,True,True,False,,0,,,,,,,,,,,,False,,,,False
aa7706e9-2ad7-4297-942a-08d8434f7ded,0,14,14,18,18,23419162A,AEB21211,filonowicz,49734886,08/18/2020 10:30:22,08/18/2020 00:00:00,True,True,True,False,,0,,,,,,,,,,,,False,,,,False
eb03f4e5-41a3-44dd-942b-08d8434f7ded,0,44,44,16,16,23419117A,AEB22211,filonowicz,49734886,08/18/2020 10:30:25,08/18/2020 00:00:00,True,True,True,False,,0,,,,,,,,,,,,False,,,,False
90ebcc0d-4048-4933-942c-08d8434f7ded,0,4,4,18,18,23419104A,AEB19111,filonowicz,49734886,08/18/2020 10:30:29,08/18/2020 00:00:00,True,True,True,False,,0,,,,,,,,,,,,False,,,,False
